iter	RMSE
0	8.220298647
1	7.780906204
2	7.326761579
3	6.883501087
4	6.528318659
5	6.213435635
6	5.94086732
7	5.676155535
8	5.450963179
9	5.226898696
10	4.987227679
11	4.817293027
12	4.638480354
13	4.494387358
14	4.304628532
15	4.168318797
16	4.022402389
17	3.906837938
18	3.792708832
19	3.711194264
20	3.605795793
21	3.543597105
22	3.456008674
23	3.400103244
24	3.346614527
25	3.295608613
26	3.239069995
27	3.170765057
28	3.142922508
29	3.081322886
30	3.032745802
31	2.99770356
32	2.952564003
33	2.912497414
34	2.880812318
35	2.848118837
36	2.813025822
37	2.790195157
38	2.766109952
39	2.737951388
40	2.696091926
41	2.669554257
42	2.638608381
43	2.621945387
44	2.599791566
45	2.574942111
46	2.554924315
47	2.534044819
48	2.511116287
49	2.491039754
50	2.474086248
51	2.461796355
52	2.447013295
53	2.429116891
54	2.415125121
55	2.393055432
56	2.382515973
57	2.368990463
58	2.358669559
59	2.345886597
60	2.324244337
61	2.31039654
62	2.303176571
63	2.292710177
64	2.284766876
65	2.271417061
66	2.261612328
67	2.256148878
68	2.238108538
69	2.219376259
70	2.205700722
71	2.190742208
72	2.174466964
73	2.165886338
74	2.156626991
75	2.146734725
76	2.139535083
77	2.122528692
78	2.107702205
79	2.102519477
80	2.089717452
81	2.081139357
82	2.071856633
83	2.061486484
84	2.046830586
85	2.035027394
86	2.028180587
87	2.02094917
88	2.006540417
89	1.998792675
90	1.991163264
91	1.980925688
92	1.968752981
93	1.95991337
94	1.952511978
95	1.947603529
96	1.933159078
97	1.920838031
98	1.915546911
99	1.907313294
100	1.898951218
101	1.89142552
102	1.882212133
103	1.872463609
104	1.864490828
105	1.852304178
106	1.846113399
107	1.834757368
108	1.823361771
109	1.813997698
110	1.800073034
111	1.792472041
112	1.786143433
113	1.776715799
114	1.769999054
115	1.763560288
116	1.756154024
117	1.748087299
118	1.740232454
119	1.735050409
120	1.725407348
121	1.715825904
122	1.708987746
123	1.703581366
124	1.693231696
125	1.686888052
126	1.681608637
127	1.676863258
128	1.665311239
129	1.662035485
130	1.654289187
131	1.646214479
132	1.637741919
133	1.631619788
134	1.626900573
135	1.616959726
136	1.610650511
137	1.600996273
138	1.598294509
139	1.595227279
140	1.588065944
141	1.582701499
142	1.579170372
143	1.573671639
144	1.567840701
145	1.557547098
146	1.550822807
147	1.546255583
148	1.541358957
149	1.534568175
150	1.533020251
151	1.52883846
152	1.524318429
153	1.513513536
154	1.505547868
155	1.499617644
156	1.493628954
157	1.483883769
158	1.475217698
159	1.473256827
160	1.465764657
161	1.460642547
162	1.456398868
163	1.452748656
164	1.450321893
165	1.445779712
166	1.438003137
167	1.432600669
168	1.430634747
169	1.426173079
170	1.420762096
171	1.415366754
172	1.411953465
173	1.407894915
174	1.402596938
175	1.398448476
176	1.396623075
177	1.391579781
178	1.386670357
179	1.384669479
180	1.380109665
181	1.376335828
182	1.372061574
183	1.367881121
184	1.364072631
185	1.36128537
186	1.353099742
187	1.351485399
188	1.347431191
189	1.344538801
190	1.340498337
191	1.33446036
192	1.332061632
193	1.326540148
194	1.322100582
195	1.316073439
196	1.313401029
197	1.310733127
198	1.306571763
199	1.300665992
200	1.295372281
201	1.289501095
202	1.286369606
203	1.28132644
204	1.276419665
205	1.272487561
206	1.269906086
207	1.264169899
208	1.259113758
209	1.253335925
210	1.249845648
211	1.245320355
212	1.240127389
213	1.235619208
214	1.23097039
215	1.227308665
216	1.223428957
217	1.218049332
218	1.215727343
219	1.211681776
220	1.206696579
221	1.204290357
222	1.201619565
223	1.19756572
224	1.193828782
225	1.191364211
226	1.188835827
227	1.185943268
228	1.179655613
229	1.176905354
230	1.171726593
231	1.163086042
232	1.159024746
233	1.152794008
234	1.149294954
235	1.147312688
236	1.144216268
237	1.139088541
238	1.136549101
239	1.135523268
240	1.132421726
241	1.128153559
242	1.124763271
243	1.121907218
244	1.117651378
245	1.112715581
246	1.107438415
247	1.103261232
248	1.097463335
249	1.09519678
250	1.093696305
251	1.087038787
252	1.084576419
253	1.082535718
254	1.078485494
255	1.07481101
256	1.071604982
257	1.069414683
258	1.068309734
259	1.064766213
260	1.062425756
261	1.058379716
262	1.054776249
263	1.051724185
264	1.048582416
265	1.044892293
266	1.041475303
267	1.038321957
268	1.036018477
269	1.034525733
270	1.03222994
271	1.029381606
272	1.025849494
273	1.024908649
274	1.023051744
275	1.020072197
276	1.017012926
277	1.014949477
278	1.014334057
279	1.011551172
280	1.008574376
281	1.006115563
282	1.005173808
283	1.000258086
284	0.9957852242
285	0.9928189711
286	0.9898658683
287	0.9875731969
288	0.9855643941
289	0.9831927126
290	0.9819783933
291	0.9772524844
292	0.9740603705
293	0.9724705485
294	0.9686841492
295	0.9659426515
296	0.963401796
297	0.9610845825
298	0.9575074633
299	0.9560621769
