iter	Passed	Remaining
0	1	334
1	2	372
2	3	363
3	4	356
4	6	358
5	7	363
6	8	366
7	9	363
8	11	357
9	12	361
10	13	362
11	14	349
12	15	346
13	16	343
14	18	345
15	19	339
16	20	335
17	20	323
18	21	319
19	22	319
20	23	317
21	24	314
22	26	313
23	27	312
24	28	309
25	28	303
26	29	301
27	30	300
28	32	299
29	33	299
30	34	299
31	35	299
32	37	300
33	38	299
34	39	298
35	40	297
36	41	297
37	42	295
38	43	293
39	44	292
40	46	295
41	47	293
42	48	292
43	49	290
44	51	290
45	52	290
46	54	290
47	55	289
48	56	288
49	57	286
50	58	285
51	59	283
52	60	282
53	61	281
54	62	280
55	63	278
56	65	277
57	66	275
58	67	274
59	68	272
60	69	271
61	70	270
62	71	269
63	72	268
64	73	267
65	75	266
66	76	265
67	77	264
68	78	263
69	79	262
70	81	261
71	82	260
72	83	259
73	84	257
74	85	256
75	86	254
76	87	253
77	90	257
78	91	257
79	92	254
80	93	252
81	94	251
82	95	250
83	97	249
84	98	248
85	99	246
86	99	244
87	100	242
88	101	240
89	102	238
90	103	237
91	104	236
92	106	236
93	107	235
94	108	233
95	109	232
96	110	230
97	111	229
98	112	227
99	113	227
100	114	225
101	115	224
102	116	222
103	117	221
104	118	220
105	120	219
106	121	218
107	122	217
108	123	216
109	124	215
110	126	214
111	127	214
112	128	212
113	128	210
114	129	208
115	130	207
116	131	206
117	132	205
118	134	204
119	135	203
120	136	202
121	138	201
122	139	200
123	140	199
124	141	197
125	142	196
126	143	195
127	144	194
128	145	193
129	146	191
130	147	190
131	149	189
132	150	188
133	151	187
134	152	186
135	153	185
136	154	184
137	156	183
138	157	182
139	158	180
140	158	179
141	160	178
142	161	176
143	162	175
144	163	174
145	164	173
146	165	172
147	167	171
148	168	170
149	169	169
150	170	168
151	171	167
152	172	165
153	173	164
154	174	163
155	176	162
156	177	161
157	178	160
158	179	159
159	180	157
160	181	156
161	182	155
162	183	154
163	184	153
164	186	152
165	186	150
166	188	149
167	189	148
168	190	147
169	191	146
170	192	145
171	193	144
172	194	142
173	195	141
174	196	140
175	197	139
176	199	138
177	200	137
178	201	136
179	202	134
180	203	133
181	203	132
182	204	130
183	205	129
184	206	128
185	207	127
186	208	126
187	209	124
188	210	123
189	211	122
190	212	121
191	214	120
192	214	119
193	215	117
194	216	116
195	216	115
196	217	113
197	219	112
198	220	111
199	221	110
200	222	109
201	223	108
202	224	107
203	225	106
204	226	105
205	227	104
206	228	102
207	229	101
208	229	100
209	230	98
210	231	97
211	233	96
212	234	95
213	235	94
214	237	93
215	238	92
216	239	91
217	240	90
218	241	89
219	242	88
220	243	87
221	244	85
222	244	84
223	246	83
224	247	82
225	248	81
226	249	80
227	250	79
228	252	78
229	253	77
230	254	76
231	255	74
232	257	73
233	257	72
234	258	71
235	259	70
236	260	69
237	261	68
238	263	67
239	264	66
240	265	64
241	266	63
242	267	62
243	268	61
244	269	60
245	270	59
246	271	58
247	273	57
248	274	56
249	275	55
250	276	54
251	278	52
252	279	51
253	280	50
254	281	49
255	282	48
256	284	47
257	285	46
258	286	45
259	286	44
260	287	42
261	288	41
262	289	40
263	291	39
264	292	38
265	294	37
266	295	36
267	296	35
268	298	34
269	299	33
270	300	32
271	301	30
272	302	29
273	303	28
274	304	27
275	304	26
276	306	25
277	307	24
278	308	23
279	310	22
280	311	21
281	312	19
282	314	18
283	315	17
284	316	16
285	317	15
286	318	14
287	320	13
288	320	12
289	321	11
290	323	9
291	324	8
292	325	7
293	326	6
294	327	5
295	328	4
296	328	3
297	329	2
298	330	1
299	331	0
